Title,Body,Labels,Milestone,Priority,Component,Phase,Risk,DependsOn
API /pair/start: contract tests + fixtures,"Add deterministic contract tests and fixtures for `/pair/start`.

Outcome:
- Fixtures cover happy-path and edge-cases
- Tests run in CI and prevent spec drift

Acceptance Criteria:
- ✅ Tests fail if response schema changes
- ✅ Golden fixtures stored (redacted) under `tests/fixtures/`
- ✅ CI job reports coverage for this endpoint","type:chore,component:infra,phase:1,priority:P2",Phase 1 — Foundations,P2,Infra,Phase 1,Medium,
UI integrate /pair/start: web + mobile wiring + UX states,"Integrate `/pair/start` into clients with consistent UX states.

Outcome:
- Web UI uses SDK client, handles loading/error/empty states
- Mobile wiring where relevant (status surfaces, quick actions)
- All failures map to human-readable recovery guidance

Acceptance Criteria:
- ✅ Web: loading/empty/error states are explicit and accessible
- ✅ Telemetry event for success/failure paths (privacy-safe)
- ✅ No UI jank under streaming/polling where applicable","type:feature,component:web,phase:1,priority:P2",Phase 1 — Foundations,P2,Web,Phase 1,Medium,
API /pair/confirm: agent handler + validation,"Implement the API handler for `/pair/confirm` exactly per OpenAPI.

Outcome:
- Route exists and matches the OpenAPI request/response schema
- Validation rejects invalid payloads with consistent error envelope
- Structured logs (redacted) and audit event where applicable

Acceptance Criteria:
- ✅ Unit tests for success + primary error cases
- ✅ Contract tests (wire-level) pass
- ✅ No secrets in logs or error messages","type:feature,component:agent,phase:1,priority:P1",Phase 1 — Foundations,P1,Agent,Phase 1,High,
API /pair/confirm: contract tests + fixtures,"Add deterministic contract tests and fixtures for `/pair/confirm`.

Outcome:
- Fixtures cover happy-path and edge-cases
- Tests run in CI and prevent spec drift

Acceptance Criteria:
- ✅ Tests fail if response schema changes
- ✅ Golden fixtures stored (redacted) under `tests/fixtures/`
- ✅ CI job reports coverage for this endpoint","type:chore,component:infra,phase:1,priority:P2",Phase 1 — Foundations,P2,Infra,Phase 1,Medium,
UI integrate /pair/confirm: web + mobile wiring + UX states,"Integrate `/pair/confirm` into clients with consistent UX states.

Outcome:
- Web UI uses SDK client, handles loading/error/empty states
- Mobile wiring where relevant (status surfaces, quick actions)
- All failures map to human-readable recovery guidance

Acceptance Criteria:
- ✅ Web: loading/empty/error states are explicit and accessible
- ✅ Telemetry event for success/failure paths (privacy-safe)
- ✅ No UI jank under streaming/polling where applicable","type:feature,component:web,phase:1,priority:P2",Phase 1 — Foundations,P2,Web,Phase 1,Medium,
API /system/info: agent handler + validation,"Implement the API handler for `/system/info` exactly per OpenAPI.

Outcome:
- Route exists and matches the OpenAPI request/response schema
- Validation rejects invalid payloads with consistent error envelope
- Structured logs (redacted) and audit event where applicable

Acceptance Criteria:
- ✅ Unit tests for success + primary error cases
- ✅ Contract tests (wire-level) pass
- ✅ No secrets in logs or error messages","type:feature,component:agent,phase:1,priority:P2",Phase 1 — Foundations,P2,Agent,Phase 1,Low,
API /system/info: contract tests + fixtures,"Add deterministic contract tests and fixtures for `/system/info`.

Outcome:
- Fixtures cover happy-path and edge-cases
- Tests run in CI and prevent spec drift

Acceptance Criteria:
- ✅ Tests fail if response schema changes
- ✅ Golden fixtures stored (redacted) under `tests/fixtures/`
- ✅ CI job reports coverage for this endpoint","type:chore,component:infra,phase:1,priority:P2",Phase 1 — Foundations,P2,Infra,Phase 1,Medium,
UI integrate /system/info: web + mobile wiring + UX states,"Integrate `/system/info` into clients with consistent UX states.

Outcome:
- Web UI uses SDK client, handles loading/error/empty states
- Mobile wiring where relevant (status surfaces, quick actions)
- All failures map to human-readable recovery guidance

Acceptance Criteria:
- ✅ Web: loading/empty/error states are explicit and accessible
- ✅ Telemetry event for success/failure paths (privacy-safe)
- ✅ No UI jank under streaming/polling where applicable","type:feature,component:web,phase:1,priority:P2",Phase 1 — Foundations,P2,Web,Phase 1,Medium,
API /moltbot/status: agent handler + validation,"Implement the API handler for `/moltbot/status` exactly per OpenAPI.

Outcome:
- Route exists and matches the OpenAPI request/response schema
- Validation rejects invalid payloads with consistent error envelope
- Structured logs (redacted) and audit event where applicable

Acceptance Criteria:
- ✅ Unit tests for success + primary error cases
- ✅ Contract tests (wire-level) pass
- ✅ No secrets in logs or error messages","type:feature,component:agent,phase:1,priority:P2",Phase 1 — Foundations,P2,Agent,Phase 1,Medium,
API /moltbot/status: contract tests + fixtures,"Add deterministic contract tests and fixtures for `/moltbot/status`.

Outcome:
- Fixtures cover happy-path and edge-cases
- Tests run in CI and prevent spec drift

Acceptance Criteria:
- ✅ Tests fail if response schema changes
- ✅ Golden fixtures stored (redacted) under `tests/fixtures/`
- ✅ CI job reports coverage for this endpoint","type:chore,component:infra,phase:1,priority:P2",Phase 1 — Foundations,P2,Infra,Phase 1,Medium,
UI integrate /moltbot/status: web + mobile wiring + UX states,"Integrate `/moltbot/status` into clients with consistent UX states.

Outcome:
- Web UI uses SDK client, handles loading/error/empty states
- Mobile wiring where relevant (status surfaces, quick actions)
- All failures map to human-readable recovery guidance

Acceptance Criteria:
- ✅ Web: loading/empty/error states are explicit and accessible
- ✅ Telemetry event for success/failure paths (privacy-safe)
- ✅ No UI jank under streaming/polling where applicable","type:feature,component:web,phase:1,priority:P2",Phase 1 — Foundations,P2,Web,Phase 1,Medium,
API /install/local: agent handler + validation,"Implement the API handler for `/install/local` exactly per OpenAPI.

Outcome:
- Route exists and matches the OpenAPI request/response schema
- Validation rejects invalid payloads with consistent error envelope
- Structured logs (redacted) and audit event where applicable

Acceptance Criteria:
- ✅ Unit tests for success + primary error cases
- ✅ Contract tests (wire-level) pass
- ✅ No secrets in logs or error messages","type:feature,component:agent,phase:2,priority:P1",Phase 2 — Setup Wizard,P1,Agent,Phase 2,High,
API /install/local: contract tests + fixtures,"Add deterministic contract tests and fixtures for `/install/local`.

Outcome:
- Fixtures cover happy-path and edge-cases
- Tests run in CI and prevent spec drift

Acceptance Criteria:
- ✅ Tests fail if response schema changes
- ✅ Golden fixtures stored (redacted) under `tests/fixtures/`
- ✅ CI job reports coverage for this endpoint","type:chore,component:infra,phase:2,priority:P2",Phase 2 — Setup Wizard,P2,Infra,Phase 2,Medium,
UI integrate /install/local: web + mobile wiring + UX states,"Integrate `/install/local` into clients with consistent UX states.

Outcome:
- Web UI uses SDK client, handles loading/error/empty states
- Mobile wiring where relevant (status surfaces, quick actions)
- All failures map to human-readable recovery guidance

Acceptance Criteria:
- ✅ Web: loading/empty/error states are explicit and accessible
- ✅ Telemetry event for success/failure paths (privacy-safe)
- ✅ No UI jank under streaming/polling where applicable","type:feature,component:web,phase:2,priority:P2",Phase 2 — Setup Wizard,P2,Web,Phase 2,Medium,
API /install/ssh: agent handler + validation,"Implement the API handler for `/install/ssh` exactly per OpenAPI.

Outcome:
- Route exists and matches the OpenAPI request/response schema
- Validation rejects invalid payloads with consistent error envelope
- Structured logs (redacted) and audit event where applicable

Acceptance Criteria:
- ✅ Unit tests for success + primary error cases
- ✅ Contract tests (wire-level) pass
- ✅ No secrets in logs or error messages","type:feature,component:agent,phase:2,priority:P1",Phase 2 — Setup Wizard,P1,Agent,Phase 2,High,
API /install/ssh: contract tests + fixtures,"Add deterministic contract tests and fixtures for `/install/ssh`.

Outcome:
- Fixtures cover happy-path and edge-cases
- Tests run in CI and prevent spec drift

Acceptance Criteria:
- ✅ Tests fail if response schema changes
- ✅ Golden fixtures stored (redacted) under `tests/fixtures/`
- ✅ CI job reports coverage for this endpoint","type:chore,component:infra,phase:2,priority:P2",Phase 2 — Setup Wizard,P2,Infra,Phase 2,Medium,
UI integrate /install/ssh: web + mobile wiring + UX states,"Integrate `/install/ssh` into clients with consistent UX states.

Outcome:
- Web UI uses SDK client, handles loading/error/empty states
- Mobile wiring where relevant (status surfaces, quick actions)
- All failures map to human-readable recovery guidance

Acceptance Criteria:
- ✅ Web: loading/empty/error states are explicit and accessible
- ✅ Telemetry event for success/failure paths (privacy-safe)
- ✅ No UI jank under streaming/polling where applicable","type:feature,component:web,phase:2,priority:P2",Phase 2 — Setup Wizard,P2,Web,Phase 2,Medium,
API /config/validate: agent handler + validation,"Implement the API handler for `/config/validate` exactly per OpenAPI.

Outcome:
- Route exists and matches the OpenAPI request/response schema
- Validation rejects invalid payloads with consistent error envelope
- Structured logs (redacted) and audit event where applicable

Acceptance Criteria:
- ✅ Unit tests for success + primary error cases
- ✅ Contract tests (wire-level) pass
- ✅ No secrets in logs or error messages","type:feature,component:agent,phase:2,priority:P1",Phase 2 — Setup Wizard,P1,Agent,Phase 2,Medium,
API /config/validate: contract tests + fixtures,"Add deterministic contract tests and fixtures for `/config/validate`.

Outcome:
- Fixtures cover happy-path and edge-cases
- Tests run in CI and prevent spec drift

Acceptance Criteria:
- ✅ Tests fail if response schema changes
- ✅ Golden fixtures stored (redacted) under `tests/fixtures/`
- ✅ CI job reports coverage for this endpoint","type:chore,component:infra,phase:2,priority:P2",Phase 2 — Setup Wizard,P2,Infra,Phase 2,Medium,
UI integrate /config/validate: web + mobile wiring + UX states,"Integrate `/config/validate` into clients with consistent UX states.

Outcome:
- Web UI uses SDK client, handles loading/error/empty states
- Mobile wiring where relevant (status surfaces, quick actions)
- All failures map to human-readable recovery guidance

Acceptance Criteria:
- ✅ Web: loading/empty/error states are explicit and accessible
- ✅ Telemetry event for success/failure paths (privacy-safe)
- ✅ No UI jank under streaming/polling where applicable","type:feature,component:web,phase:2,priority:P2",Phase 2 — Setup Wizard,P2,Web,Phase 2,Medium,
API /config/apply: agent handler + validation,"Implement the API handler for `/config/apply` exactly per OpenAPI.

Outcome:
- Route exists and matches the OpenAPI request/response schema
- Validation rejects invalid payloads with consistent error envelope
- Structured logs (redacted) and audit event where applicable

Acceptance Criteria:
- ✅ Unit tests for success + primary error cases
- ✅ Contract tests (wire-level) pass
- ✅ No secrets in logs or error messages","type:feature,component:agent,phase:2,priority:P1",Phase 2 — Setup Wizard,P1,Agent,Phase 2,High,
API /config/apply: contract tests + fixtures,"Add deterministic contract tests and fixtures for `/config/apply`.

Outcome:
- Fixtures cover happy-path and edge-cases
- Tests run in CI and prevent spec drift

Acceptance Criteria:
- ✅ Tests fail if response schema changes
- ✅ Golden fixtures stored (redacted) under `tests/fixtures/`
- ✅ CI job reports coverage for this endpoint","type:chore,component:infra,phase:2,priority:P2",Phase 2 — Setup Wizard,P2,Infra,Phase 2,Medium,
UI integrate /config/apply: web + mobile wiring + UX states,"Integrate `/config/apply` into clients with consistent UX states.

Outcome:
- Web UI uses SDK client, handles loading/error/empty states
- Mobile wiring where relevant (status surfaces, quick actions)
- All failures map to human-readable recovery guidance

Acceptance Criteria:
- ✅ Web: loading/empty/error states are explicit and accessible
- ✅ Telemetry event for success/failure paths (privacy-safe)
- ✅ No UI jank under streaming/polling where applicable","type:feature,component:web,phase:2,priority:P2",Phase 2 — Setup Wizard,P2,Web,Phase 2,Medium,
API /logs/tail: agent handler + validation,"Implement the API handler for `/logs/tail` exactly per OpenAPI.

Outcome:
- Route exists and matches the OpenAPI request/response schema
- Validation rejects invalid payloads with consistent error envelope
- Structured logs (redacted) and audit event where applicable

Acceptance Criteria:
- ✅ Unit tests for success + primary error cases
- ✅ Contract tests (wire-level) pass
- ✅ No secrets in logs or error messages","type:feature,component:agent,phase:3,priority:P2",Phase 3 — Monitoring,P2,Agent,Phase 3,Medium,
API /logs/tail: contract tests + fixtures,"Add deterministic contract tests and fixtures for `/logs/tail`.

Outcome:
- Fixtures cover happy-path and edge-cases
- Tests run in CI and prevent spec drift

Acceptance Criteria:
- ✅ Tests fail if response schema changes
- ✅ Golden fixtures stored (redacted) under `tests/fixtures/`
- ✅ CI job reports coverage for this endpoint","type:chore,component:infra,phase:3,priority:P2",Phase 3 — Monitoring,P2,Infra,Phase 3,Medium,
UI integrate /logs/tail: web + mobile wiring + UX states,"Integrate `/logs/tail` into clients with consistent UX states.

Outcome:
- Web UI uses SDK client, handles loading/error/empty states
- Mobile wiring where relevant (status surfaces, quick actions)
- All failures map to human-readable recovery guidance

Acceptance Criteria:
- ✅ Web: loading/empty/error states are explicit and accessible
- ✅ Telemetry event for success/failure paths (privacy-safe)
- ✅ No UI jank under streaming/polling where applicable","type:feature,component:web,phase:3,priority:P2",Phase 3 — Monitoring,P2,Web,Phase 3,Medium,
API /logs/stream: agent handler + validation,"Implement the API handler for `/logs/stream` exactly per OpenAPI.

Outcome:
- Route exists and matches the OpenAPI request/response schema
- Validation rejects invalid payloads with consistent error envelope
- Structured logs (redacted) and audit event where applicable

Acceptance Criteria:
- ✅ Unit tests for success + primary error cases
- ✅ Contract tests (wire-level) pass
- ✅ No secrets in logs or error messages","type:feature,component:agent,phase:3,priority:P2",Phase 3 — Monitoring,P2,Agent,Phase 3,High,
API /logs/stream: contract tests + fixtures,"Add deterministic contract tests and fixtures for `/logs/stream`.

Outcome:
- Fixtures cover happy-path and edge-cases
- Tests run in CI and prevent spec drift

Acceptance Criteria:
- ✅ Tests fail if response schema changes
- ✅ Golden fixtures stored (redacted) under `tests/fixtures/`
- ✅ CI job reports coverage for this endpoint","type:chore,component:infra,phase:3,priority:P2",Phase 3 — Monitoring,P2,Infra,Phase 3,Medium,
UI integrate /logs/stream: web + mobile wiring + UX states,"Integrate `/logs/stream` into clients with consistent UX states.

Outcome:
- Web UI uses SDK client, handles loading/error/empty states
- Mobile wiring where relevant (status surfaces, quick actions)
- All failures map to human-readable recovery guidance

Acceptance Criteria:
- ✅ Web: loading/empty/error states are explicit and accessible
- ✅ Telemetry event for success/failure paths (privacy-safe)
- ✅ No UI jank under streaming/polling where applicable","type:feature,component:web,phase:3,priority:P2",Phase 3 — Monitoring,P2,Web,Phase 3,Medium,
API /metrics/current: agent handler + validation,"Implement the API handler for `/metrics/current` exactly per OpenAPI.

Outcome:
- Route exists and matches the OpenAPI request/response schema
- Validation rejects invalid payloads with consistent error envelope
- Structured logs (redacted) and audit event where applicable

Acceptance Criteria:
- ✅ Unit tests for success + primary error cases
- ✅ Contract tests (wire-level) pass
- ✅ No secrets in logs or error messages","type:feature,component:agent,phase:3,priority:P3",Phase 3 — Monitoring,P3,Agent,Phase 3,Low,
API /metrics/current: contract tests + fixtures,"Add deterministic contract tests and fixtures for `/metrics/current`.

Outcome:
- Fixtures cover happy-path and edge-cases
- Tests run in CI and prevent spec drift

Acceptance Criteria:
- ✅ Tests fail if response schema changes
- ✅ Golden fixtures stored (redacted) under `tests/fixtures/`
- ✅ CI job reports coverage for this endpoint","type:chore,component:infra,phase:3,priority:P2",Phase 3 — Monitoring,P2,Infra,Phase 3,Medium,
UI integrate /metrics/current: web + mobile wiring + UX states,"Integrate `/metrics/current` into clients with consistent UX states.

Outcome:
- Web UI uses SDK client, handles loading/error/empty states
- Mobile wiring where relevant (status surfaces, quick actions)
- All failures map to human-readable recovery guidance

Acceptance Criteria:
- ✅ Web: loading/empty/error states are explicit and accessible
- ✅ Telemetry event for success/failure paths (privacy-safe)
- ✅ No UI jank under streaming/polling where applicable","type:feature,component:web,phase:3,priority:P2",Phase 3 — Monitoring,P2,Web,Phase 3,Medium,
API /alerts/rules: agent handler + validation,"Implement the API handler for `/alerts/rules` exactly per OpenAPI.

Outcome:
- Route exists and matches the OpenAPI request/response schema
- Validation rejects invalid payloads with consistent error envelope
- Structured logs (redacted) and audit event where applicable

Acceptance Criteria:
- ✅ Unit tests for success + primary error cases
- ✅ Contract tests (wire-level) pass
- ✅ No secrets in logs or error messages","type:feature,component:agent,phase:3,priority:P2",Phase 3 — Monitoring,P2,Agent,Phase 3,High,
API /alerts/rules: contract tests + fixtures,"Add deterministic contract tests and fixtures for `/alerts/rules`.

Outcome:
- Fixtures cover happy-path and edge-cases
- Tests run in CI and prevent spec drift

Acceptance Criteria:
- ✅ Tests fail if response schema changes
- ✅ Golden fixtures stored (redacted) under `tests/fixtures/`
- ✅ CI job reports coverage for this endpoint","type:chore,component:infra,phase:3,priority:P2",Phase 3 — Monitoring,P2,Infra,Phase 3,Medium,
UI integrate /alerts/rules: web + mobile wiring + UX states,"Integrate `/alerts/rules` into clients with consistent UX states.

Outcome:
- Web UI uses SDK client, handles loading/error/empty states
- Mobile wiring where relevant (status surfaces, quick actions)
- All failures map to human-readable recovery guidance

Acceptance Criteria:
- ✅ Web: loading/empty/error states are explicit and accessible
- ✅ Telemetry event for success/failure paths (privacy-safe)
- ✅ No UI jank under streaming/polling where applicable","type:feature,component:web,phase:3,priority:P2",Phase 3 — Monitoring,P2,Web,Phase 3,Medium,
API /ops/action: agent handler + validation,"Implement the API handler for `/ops/action` exactly per OpenAPI.

Outcome:
- Route exists and matches the OpenAPI request/response schema
- Validation rejects invalid payloads with consistent error envelope
- Structured logs (redacted) and audit event where applicable

Acceptance Criteria:
- ✅ Unit tests for success + primary error cases
- ✅ Contract tests (wire-level) pass
- ✅ No secrets in logs or error messages","type:feature,component:agent,phase:4,priority:P0",Phase 4 — Operations,P0,Agent,Phase 4,High,
API /ops/action: contract tests + fixtures,"Add deterministic contract tests and fixtures for `/ops/action`.

Outcome:
- Fixtures cover happy-path and edge-cases
- Tests run in CI and prevent spec drift

Acceptance Criteria:
- ✅ Tests fail if response schema changes
- ✅ Golden fixtures stored (redacted) under `tests/fixtures/`
- ✅ CI job reports coverage for this endpoint","type:chore,component:infra,phase:4,priority:P2",Phase 4 — Operations,P2,Infra,Phase 4,Medium,
UI integrate /ops/action: web + mobile wiring + UX states,"Integrate `/ops/action` into clients with consistent UX states.

Outcome:
- Web UI uses SDK client, handles loading/error/empty states
- Mobile wiring where relevant (status surfaces, quick actions)
- All failures map to human-readable recovery guidance

Acceptance Criteria:
- ✅ Web: loading/empty/error states are explicit and accessible
- ✅ Telemetry event for success/failure paths (privacy-safe)
- ✅ No UI jank under streaming/polling where applicable","type:feature,component:web,phase:4,priority:P2",Phase 4 — Operations,P2,Web,Phase 4,Medium,
API /support/bundle: agent handler + validation,"Implement the API handler for `/support/bundle` exactly per OpenAPI.

Outcome:
- Route exists and matches the OpenAPI request/response schema
- Validation rejects invalid payloads with consistent error envelope
- Structured logs (redacted) and audit event where applicable

Acceptance Criteria:
- ✅ Unit tests for success + primary error cases
- ✅ Contract tests (wire-level) pass
- ✅ No secrets in logs or error messages","type:feature,component:agent,phase:3,priority:P2",Phase 3 — Monitoring,P2,Agent,Phase 3,Medium,
API /support/bundle: contract tests + fixtures,"Add deterministic contract tests and fixtures for `/support/bundle`.

Outcome:
- Fixtures cover happy-path and edge-cases
- Tests run in CI and prevent spec drift

Acceptance Criteria:
- ✅ Tests fail if response schema changes
- ✅ Golden fixtures stored (redacted) under `tests/fixtures/`
- ✅ CI job reports coverage for this endpoint","type:chore,component:infra,phase:3,priority:P2",Phase 3 — Monitoring,P2,Infra,Phase 3,Medium,
UI integrate /support/bundle: web + mobile wiring + UX states,"Integrate `/support/bundle` into clients with consistent UX states.

Outcome:
- Web UI uses SDK client, handles loading/error/empty states
- Mobile wiring where relevant (status surfaces, quick actions)
- All failures map to human-readable recovery guidance

Acceptance Criteria:
- ✅ Web: loading/empty/error states are explicit and accessible
- ✅ Telemetry event for success/failure paths (privacy-safe)
- ✅ No UI jank under streaming/polling where applicable","type:feature,component:web,phase:3,priority:P2",Phase 3 — Monitoring,P2,Web,Phase 3,Medium,
Test harness: mock MoltBot runtime (deterministic),"Create a deterministic mock MoltBot runtime for local development and CI.

Outcome:
- A single command spins up a fake runtime with predictable status/logs/metrics
- Used by contract + e2e tests to prevent flaky debugging

Acceptance Criteria:
- ✅ Supports toggling scenarios (healthy, crash-loop, gateway-down)
- ✅ Produces stable fixtures for /logs/* and /metrics/current
- ✅ Documented usage in docs/07-test-strategy.md","type:chore,component:infra,phase:1,priority:P1",Phase 1 — Foundations,P1,Infra,Phase 1,High,
E2E: wizard golden path (local docker) with screenshots/log capture,"Add end-to-end test for the setup wizard using the docker install path.

Outcome:
- CI executes full wizard flow against mock runtime and/or ephemeral agent
- Captures logs and (optional) screenshots on failure

Acceptance Criteria:
- ✅ Passes reliably in CI
- ✅ Failure artifacts uploaded to CI as downloadable bundle
- ✅ Covers retry behavior for a transient failure","type:chore,component:infra,phase:2,priority:P1",Phase 2 — Setup Wizard,P1,Infra,Phase 2,High,
E2E: monitoring golden path (logs stream + alerts) under load,"Add e2e test for monitoring functions under load.

Outcome:
- Validates SSE reconnect, paging, alerts evaluation loop
- Prevents regressions that lead to hard-to-debug production issues

Acceptance Criteria:
- ✅ Simulates 200+ log lines/min for 5 minutes without memory leak
- ✅ SSE reconnect works and does not duplicate data
- ✅ Alerts fire once (debounced) and appear in UI","type:chore,component:infra,phase:3,priority:P1",Phase 3 — Monitoring,P1,Infra,Phase 3,High,
DX: devcontainer + one-command bootstrap (web+agent+mock),"Provide a devcontainer and a single bootstrap command to run web+agent+mock.

Outcome:
- New contributor can run the stack in <10 minutes
- Eliminates machine-specific debugging

Acceptance Criteria:
- ✅ `make dev` (or equivalent) works on a fresh machine
- ✅ Ports and env vars documented
- ✅ Includes preconfigured lint/test commands","type:feature,component:infra,phase:1,priority:P2",Phase 1 — Foundations,P2,Infra,Phase 1,Medium,
Security gate: secret scanning + dependency audit enforced in PRs,"Enforce secret scanning and dependency audits in PRs.

Outcome:
- PRs blocked if secrets are detected or critical CVEs found

Acceptance Criteria:
- ✅ Secret scanner runs on push + PR
- ✅ Dependency audit fails on critical severity (configurable)
- ✅ Triage instructions included in docs/02-security.md","type:security,component:infra,phase:1,priority:P0",Phase 1 — Foundations,P0,Infra,Phase 1,High,
Codex brief: implementation guardrails + anti-mire checklist,"Write a Codex-facing implementation brief that prevents “debugging mire”.

Must include:
- Strict adherence to OpenAPI contract
- Deterministic mocks + golden path tests first
- “No side-effects without explicit confirmation” rule for ops
- Logging redaction requirements
- Review checkpoints and Definition of Done

Acceptance Criteria:
- ✅ Saved as docs/08-codex-delivery-brief.md
- ✅ Includes copy/paste prompts for Codex per phase","type:docs,component:docs,phase:1,priority:P1",Phase 1 — Foundations,P1,Docs,Phase 1,Medium,
